Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Java - Perfectionnement
4;41;handel, administratie en recht;handel en administratie;Productiemanagement training voor beschutte werkplaatsen
9;91;welzijn en gezondheid;gezondheid;Postgraduaat dysfagie
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;VCA basis 1 volledige dag
9;91;welzijn en gezondheid;gezondheid;Bij- en nascholing: centrale sterilisatiemedewerker
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Chemical and Materials Engineering
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Basisopleiding zuivelindustrie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Varia: Slicing
4;41;handel, administratie en recht;handel en administratie;Leer- en ontwikkelingstraject leidinggeven voor supervisors en teamleaders
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Storingen opzoeken en wijzigen van Siemens S7-300 opstellingen
10;104;diensten;transportdiensten;5 DAAGSE HEFTRUCK
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Solidworks formes complexes
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Automate siemens S7Sys1+Sys2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Spuittechnieken, kwaliteit en communicatie
4;41;handel, administratie en recht;handel en administratie;Cleantech Consultant
9;91;welzijn en gezondheid;gezondheid;PRATIQUES SOIGNANTES EN SANTE MENTALE ET PSYCHIATRIE DE L' ADULTE
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Basisopleiding confiserie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VISUEEL LASINSPECTEUR
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industrieel elektrotechnisch installateur
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Verantwoordelijke productielijn
4;41;handel, administratie en recht;handel en administratie;Permanente vorming voor leiding gevenden (Leaders Fora, DIL, culture, ...).
9;91;welzijn en gezondheid;gezondheid;Basiscursus Palliatieve Zorg 1/2016
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industriële pneumatica
7;73;techniek, fabricage en constructie;architectuur en constructie;Wegenbouwer
7;72;techniek, fabricage en constructie;fabricage en verwerking;Bobijnopzetten/ Montage de bobines
2;23;kunst en menswetenschappen;talen;tolken: combinatie van ten minste twee talen
5;54;natuurwetenschappen, wiskunde en statistiek;wiskunde en statistiek;Formation certifiante analyse vibratoire cat1
9;92;welzijn en gezondheid;welzijn;Getuigschrift in de Eerstelijns Psychologische zorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VCI Kommunication
2;21;kunst en menswetenschappen;kunst;Mudbox
4;41;handel, administratie en recht;handel en administratie;Logistic Engineer
9;91;welzijn en gezondheid;gezondheid;Bijzondere beroepstitel geriatrie (BBT geriatrie)
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Meter of peter worden
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Staltechtnieken voor varkens
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage conventionnel tournage / fraisage
2;21;kunst en menswetenschappen;kunst;Postgraduaat C.R.E.A. -tainment
10;101;diensten;persoonlijke diensten;Grootkeukenmanager
9;91;welzijn en gezondheid;gezondheid;Brugprogramma prof. Bachelor in de verpleegkunde
9;91;welzijn en gezondheid;gezondheid;Optiek en optometrie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);SmartSign (info screen software).
2;23;kunst en menswetenschappen;talen;Taal en integratie
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Attest vervoer levend vee-varken
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Maatschappijoriëntatie: Werk
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Geomatica en landmeetkunde
2;23;kunst en menswetenschappen;talen;Néerlandais intensif (résidentiel)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Scheren van poolweefsels
1;11;onderwijs;onderwijs;TUTORAT
9;92;welzijn en gezondheid;welzijn;Formation à l'approche systémique et à la thérapie familiale en quatre ans
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Antwerpen:mandaatmodule comité preventie en bescherming 1-3 groepen
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);postgraduaat ERP (SAP)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electro-pneumatique
7;73;techniek, fabricage en constructie;architectuur en constructie;Kogellagers en reductoren
10;101;diensten;persoonlijke diensten;Wedding planner
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A3 thinking training (Bedrijfsinterne opleiding bij KAUTEX TEXTRON BENELUX BVBA)
9;92;welzijn en gezondheid;welzijn;Pedagogie van het jonge kind
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Automates PLC5
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Toegepaste technieken uit de pneumatiek en hydraulica
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventieadviseur niveau 2 (Bedrijfsinterne opleiding bij Jaga nv)
4;41;handel, administratie en recht;handel en administratie;Beroepsopleiding leidinggevend en niet-leidinggevend kader 2016-2017 (modulair systeem)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Assurance qualité dans les laboratoires d'essai (selon la norme ISO 17025)
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Milieuzorg Environnement Intégration: QSE: Qualité - Sécurité - Environnement
9;91;welzijn en gezondheid;gezondheid;Bachelorprogramma in de logopedische en audiologische wetenschappen
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);ORACLE
9;91;welzijn en gezondheid;gezondheid;Beroepsopleiding : Postgraduaten en navorming Palliatieve zorg voor verpleegkundigen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mécanique de base (maitenance machine-outils)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité IFS-Logistics
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Sorteren van appelen en peren 1 volledige dag
4;41;handel, administratie en recht;handel en administratie;Leidinggeven voor (hulp)monitoren
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basiskennis van de preventieadviseur (Art 24 1° en Art 25 van het KB van 17 mei 2007)
10;104;diensten;transportdiensten;Chauffeur/begeleider transport (laden-leveren-lossen)
9;91;welzijn en gezondheid;gezondheid;Evidence based midwifery: EBM, wat doe je daar mee?
9;91;welzijn en gezondheid;gezondheid;Herbronningsreeks voor verzorgenden (zorgregio Ieper)
9;91;welzijn en gezondheid;gezondheid;BanaBa Zorgmanagement
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Plaatlasser
7;72;techniek, fabricage en constructie;fabricage en verwerking;Subsector Subsectorielles Belgapom
4;41;handel, administratie en recht;handel en administratie;Winkelverantwoordelijke
9;91;welzijn en gezondheid;gezondheid;Postgraduaat neurologische taal- en spraakstoornissen (NTSS)
4;41;handel, administratie en recht;handel en administratie;Chef de partie - Module 2: formation gestion et savoir-être
8;80;land- en bosbouw, visserij en dierengeneeskunde;land- en bosbouw, visserij en dierengeneeskunde;Parcours vaste planten en heesters - basis 6 volledige dagen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ROBOTPROGRAMMEUR -351U
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Diergeneeskundige wetenschappen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Conduite autonome d'un évaporateur-concentrateur
7;72;techniek, fabricage en constructie;fabricage en verwerking;Specialisatie glas-in-lood en brandschilderen
4;41;handel, administratie en recht;handel en administratie;Beleggingsadviseur
1;11;onderwijs;onderwijs;Onderwijs: secundair onderwijs
2;23;kunst en menswetenschappen;talen;vertalen: combinatie van ten minste twee talen
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autokom - Module 2
9;91;welzijn en gezondheid;gezondheid;BaNaBa (Bachelors na Bachelors) in de intensieve zorgen en de spoedgevallenzorg
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventie arbeidsongevallen en veilig omgaan met machines met gratis risicoanalyse op het bedrijf. Keuze uit: tuinaanleg, tuinbouw, landbouw-loonwerk 1 volledige dag
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Microsoft SQL Server - Principes et conception
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SCHNEIDER: Automates PREMIUM et MICRO
10;104;diensten;transportdiensten;Opleiding modules behaviour based safety voor de professionele bestuurder
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen van zwemvijvers 2 volledige dagen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Schakelprogramma: master industriële wetenschappen: elektromechanica
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Aanvullende vorming voor preventieadviseurs – Specialisatiemodule niveau 1- Psychosociale belasting van de arbeid
7;72;techniek, fabricage en constructie;fabricage en verwerking;Module Clarebout
9;91;welzijn en gezondheid;gezondheid;Permanente vorming referentieverpleegkundige in de wondzorg
9;91;welzijn en gezondheid;gezondheid;Développement et perfectionnement en soins infirmiers liés à la pathologie cardiovasculaire
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen vangroendaken 1 volledige dag
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation continue en santé mentale et psychiatrie : Module de formation 5 - Psychopathologie de la psychose (32h)
2;23;kunst en menswetenschappen;talen;toegepaste taalkunde: combinatie van ten minste twee talen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Realisaties kinder- en tienerkleding
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Frezen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ALUMINIUMTECHNOLOGIE - 80 u
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Vermeerderingstechnieken in de boomkwekerij 1 volledige dag
2;23;kunst en menswetenschappen;talen;Taalopleiding Spaans
7;73;techniek, fabricage en constructie;architectuur en constructie;Initiatie bouwploegbaas
7;73;techniek, fabricage en constructie;architectuur en constructie;Gevelmetselwerk
9;92;welzijn en gezondheid;welzijn;Hulp verlenen bij complexe verwerkingsprocessen en trauma (TH11)
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Métrologie spécialisation
9;91;welzijn en gezondheid;gezondheid;Postgraduaat in de geestelijke gezondheidszorg en psychiatrie module 4
9;91;welzijn en gezondheid;gezondheid;Banaba verpleegkunde in de intensieve zorg en spoedgevallenzorg basismodule 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Moderne dieseltechnieken
9;91;welzijn en gezondheid;gezondheid;Modeltraject van gebrevetteerd/gediplomeerd naar gegradueerde verpleegkundige (brugopleiding)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoudsmecanicien
7;73;techniek, fabricage en constructie;architectuur en constructie;Schilder - Industrieel Schilder
4;41;handel, administratie en recht;handel en administratie;Fundamentele bedrijfsvaardigheiden voor klantendienst en binnendienstmedewerkers en voor management en eerstelijnsleidinggevenden
4;41;handel, administratie en recht;handel en administratie;GESTION ET COMMUNICATION - Mind Mapping
9;91;welzijn en gezondheid;gezondheid;spécialisation en santé communautiare (baccalauréat en soins infirmiers spécialisée en …)
4;41;handel, administratie en recht;handel en administratie;PI2-strategisch inkopen
9;91;welzijn en gezondheid;gezondheid;Postgraduaatsopleiding in het kader van het behalen van de bijzondere beroepstitel verpleegkundige gespcialiseerd in de pediatrie en neonatologie
9;91;welzijn en gezondheid;gezondheid;Bachelor na bachelor: oncologie + postgraduaat oncologie
9;91;welzijn en gezondheid;gezondheid;Verkort opleidingstraject bachelor in de verpleegkunde via volwassenonderwijs 1ste jaar 
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Erkend gebruiker van sproeistoffen 20d
9;91;welzijn en gezondheid;gezondheid;Advanced Dentistry
9;91;welzijn en gezondheid;gezondheid;Pratique soignantes en Santé Mentale et Psychiatrie de l'adulte
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);SCHATZ SYSTEM
4;41;handel, administratie en recht;handel en administratie;Comptabilité et finance pour non-financier
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Machine de mesure tridimensionnelle (MMT)
7;72;techniek, fabricage en constructie;fabricage en verwerking;WORKSHOP KVP - 120 u
7;73;techniek, fabricage en constructie;architectuur en constructie;Behangen
9;91;welzijn en gezondheid;gezondheid;Edu Wond - Postgraduaat Stomatherapie en wondzorg
9;91;welzijn en gezondheid;gezondheid;Bachelor verpleegkunde (afstandonderwijs geriatrie module 4)
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Paardenziekten en medicijnen 1 volledige dag
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire migratie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Leeggoed (32 u)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);ITIL® Intermediate Service Offerings and Agreements
4;41;handel, administratie en recht;handel en administratie;Leidinggevende type A - bekwaamheidsattest
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Koeltechnicus
